(Ax,Ay),(Bx,By),(Cx,Cy),(Dx,Dy)
(119,415,749,185,127,363,375, 431)
(188,247,349,458,177,232,375, 105)
(216,572,244,522,600,131,183, 521)
(255,84,80,289,292,288,571, 130)
(286,508,306,484,574,400,268, 475)
(294,122,269,72,603,376,344, 67)
(294,245,591,429,194,17,369, 455)
(395,216,219,577,549,139,485, 483)
(476,162,568,330,84,176,370, 327)
(555,337,293,221,529,348,481, 185)
(582,201,147,522,561,284,672, 266)
(605,518,156,502,547,248,764, 344)
(631,507,584,460,101,514,671, 423)
(644,245,407,326,522,384,748, 458)
(662,267,482,424,540,361,444, 108)
(685,334,626,459,567,329,628, 296)
(687,494,308,530,35,575,491, 434)
(689,332,715,413,41,295,518, 431)
(695,560,82,46,153,563,423, 336)
(701,113,231,134,661,157,597, 55)
(734,388,683,535,566,374,672, 119)
(746,501,637,469,600,52,760, 253)
(774,95,611,225,17,352,631, 82)
(82,553,150,349,652,203,426, 557)
(87,552,629,450,360,339,286, 526)
(88,19,144,64,710,275,89, 75)
