(Ax,Ay),(Bx,By),(Cx,Cy),(Dx,Dy)
(102,270,412,69,679,272,163, 49)
(109,352,408,455,714,144,343, 157)
(125,439,234,414,150,519,70, 65)
(135,481,343,242,601,281,35, 205)
(139,397,529,280,316,582,323, 326)
(141,176,60,44,555,453,206, 67)
(143,377,590,69,291,41,128, 171)
(143,432,52,414,392,520,153, 218)
(145,465,48,127,766,47,335, 228)
(149,256,77,417,535,155,159, 353)
(156,131,655,444,338,345,148, 313)
(157,183,626,122,222,460,386, 165)
(169,382,51,498,637,170,217, 516)
(169,83,630,43,689,236,289, 577)
(171,305,81,84,173,542,571, 96)
(173,495,591,370,92,220,358, 363)
(174,140,46,243,348,521,722, 56)
(174,477,211,131,58,563,148, 311)
(181,570,32,316,600,585,102, 450)
(189,351,423,55,31,385,116, 386)
(190,192,79,496,488,478,343, 316)
(208,506,112,348,684,544,443, 376)
(209,169,272,91,89,386,63, 206)
(214,358,275,569,75,215,287, 152)
(228,77,54,462,559,428,89, 240)
(230,67,184,222,372,348,483, 97)
(231,263,635,185,609,84,452, 337)
(245,72,107,470,587,226,143, 229)
(25,143,272,580,570,201,96, 380)
(251,57,177,535,658,483,547, 148)
(259,415,184,126,192,535,207, 277)
(260,443,731,511,207,69,482, 537)
(285,203,318,331,512,285,52, 321)
(302,412,46,40,460,30,520, 288)
(303,263,494,475,480,158,334, 116)
(304,37,183,435,678,550,733, 92)
(322,173,312,59,373,361,650, 164)
(325,44,402,405,431,139,195, 260)
(328,585,113,444,636,527,434, 449)
(335,515,233,257,240,500,502, 309)
(337,555,16,404,734,72,723, 484)
(338,178,418,268,784,571,424, 176)
(339,198,96,272,474,214,284, 403)
(35,205,689,360,169,224,70, 389)
(354,356,106,50,586,567,630, 265)
(363,458,569,248,295,408,632, 545)
(368,397,355,203,599,376,250, 319)
(372,26,620,35,358,23,328, 372)
(377,417,229,161,717,403,517, 338)
(379,146,308,35,653,516,323, 426)
(390,465,56,176,654,44,216, 364)
(390,73,223,381,566,74,358, 246)
(390,520,434,250,611,231,721, 565)
(396,218,140,329,527,317,268, 271)
(397,241,738,424,464,54,454, 162)
(398,484,48,449,755,268,405, 145)
(407,446,112,237,515,547,477, 110)
(408,186,331,401,756,325,617, 150)
(410,571,225,556,411,176,691, 394)
(411,160,226,330,574,422,491, 272)
(413,184,383,431,64,31,240, 123)
(422,262,224,144,235,523,366, 415)
(433,367,154,432,359,134,382, 268)
(433,577,55,556,512,314,654, 507)
(442,112,573,100,37,80,512, 583)
(442,65,163,157,473,263,303, 93)
(448,471,254,380,692,359,479, 246)
(449,158,758,335,355,313,586, 264)
(454,23,239,74,672,38,387, 143)
(46,242,311,466,615,135,152, 384)
(468,244,518,59,87,423,225, 203)
(47,268,312,92,739,431,82, 54)
(471,518,667,558,384,381,509, 417)
(476,384,752,385,364,194,373, 323)
(484,517,142,513,267,399,567, 124)
(489,50,700,398,72,141,712, 140)
(496,59,333,149,426,373,725, 253)
(510,475,376,383,614,361,538, 402)
(516,215,726,463,21,413,586, 330)
(52,293,189,454,81,15,177, 301)
(522,47,570,41,463,582,53, 231)
(522,412,205,583,667,362,467, 111)
(532,353,642,239,383,482,387, 126)
(534,202,535,529,221,331,312, 74)
(536,97,248,91,281,253,434, 212)
(536,42,34,23,423,82,669, 571)
(54,302,381,64,567,192,356, 532)
(540,266,104,197,379,211,470, 215)
(541,532,342,297,498,357,774, 400)
(547,446,297,260,448,52,635, 219)
(56,106,43,248,528,440,412, 44)
(57,197,663,236,15,482,371, 32)
(570,253,535,430,283,379,542, 332)
(571,135,758,499,295,482,193, 71)
(575,496,45,80,764,74,155, 526)
(577,317,620,406,580,142,62, 347)
(581,122,749,430,241,465,247, 81)
(587,124,498,358,275,133,784, 311)
(59,46,635,340,51,117,21, 74)
(591,212,486,253,492,222,600, 372)
(598,462,90,222,718,211,309, 440)
(615,495,692,510,275,580,419, 52)
(629,21,566,202,783,85,528, 74)
(64,301,32,525,377,317,215, 290)
(644,241,496,484,114,179,413, 45)
(645,48,776,375,554,179,586, 97)
(653,156,655,216,221,265,536, 188)
(658,269,578,150,611,256,579, 513)
(694,334,238,55,742,359,409, 356)
(700,258,605,124,76,404,426, 443)
(705,529,723,410,646,557,648, 482)
(706,340,378,361,176,157,531, 173)
(714,400,510,371,169,299,648, 201)
(719,98,620,281,72,358,752, 226)
(720,432,309,200,47,442,523, 312)
(723,323,530,439,526,410,554, 206)
(729,369,716,441,259,97,595, 90)
(738,85,325,416,418,107,767, 520)
(739,550,683,241,237,505,684, 413)
(740,504,145,473,676,205,459, 572)
(744,509,588,215,466,472,779, 323)
(746,175,289,502,610,115,724, 544)
(753,386,575,310,778,423,636, 434)
(754,412,137,548,740,79,438, 358)
(757,553,152,539,369,111,753, 207)
(768,567,90,320,585,192,638, 403)
