(Ax,Ay),(Bx,By),(Cx,Cy),(Dx,Dy)
(134,323,33,553,644,184,431, 411)
(173,177,41,155,229,259,349, 114)
(201,520,173,542,342,387,65, 371)
(244,557,76,182,771,369,291, 312)
(256,135,301,181,427,285,58, 370)
(272,190,45,305,235,311,101, 134)
(279,445,301,268,167,202,83, 389)
(289,453,390,430,371,533,275, 190)
(365,383,165,381,385,289,333, 328)
(365,537,433,479,156,571,256, 520)
(375,142,593,113,406,180,80, 384)
(375,534,434,413,420,542,47, 315)
(47,508,146,516,674,549,130, 28)
(484,542,732,460,593,251,540, 398)
(493,30,488,102,358,315,384, 57)
(493,137,630,407,484,108,122, 495)
(516,292,428,453,447,331,370, 108)
(528,393,432,415,408,292,746, 17)
(540,67,450,187,435,94,673, 260)
(555,183,556,496,334,326,756, 338)
(663,113,27,551,19,215,478, 523)
(766,101,701,222,702,113,724, 44)
